rank,name,time
-,WILKOS Katarzyna,DNF
-,BANKS Elizabeth,DNF
-,GONZALEZ BLANCO Alicia,DNF
-,GUTIERREZ RUIZ Sheyla,DNF
-,KEEP Tiffany,DNF
-,MATTHEE Maroesjka,DNF
-,BORGLI Stine,DNF
-,GASKJENN Ingvild,DNF
-,PRADERA BERNAL Jeydy,DNF
-,MAES Elise,DNF
-,BARRERA ESPARZA Anet,DNF
-,RAMIREZ FREGOSO Andrea,DNF
-,LUNDMARK Clara,DNF
-,NILSSON Hanna,DNF
-,PENTON Sara,DNF
-,PINTAR Urska,DNF
-,ZIGART Urska,DNF
-,KANEKO Hiromi,DNF
-,YONAMINE Eri,DNF
-,KONONENKO Valeriya,DNF
-,OSHURKOVA Elizaveta,DNF
-,KIDANE Desiet,DNF
-,HARVEY Mikayla,DNF
-,GAFINOVITZ Rotem,DNF
-,VARGAS BARRIENTOS Maria Jose,DNF
-,COSTA Alexi,DNF
-,SCHWEINBERGER Kathrin,DNF
-,AHUMADA RIQUELME Denisse,DNF
-,de OLIVEIRA PAPARELLA Flavia Maria,DNF
-,POLEGATCH Ana Paula,DNF
-,NEUMANOVA Tereza,DNF
-,PERINOVIC Maja,DNF
-,RADOTIC Mia,DNF
-,FASOI Varvara,DNF
-,SHARPE Alice,DNF
-,BACIKOVA Alzbeta,DNF
-,MEDVEDOVA Tereza,DNF
-,SAIFUTDINOVA Natalya,DNF
-,UMUTZHANOVA Makhabbat,DNF
-,MARTINS Maria,DNF
-,BJORNSDOTTIR Agusta Edda,DNF
-,DAVIDSON Skye,DNF
-,LANG Mae,DNF
-,GRANIZAL Fabiana,DNF
-,YAPURA Fernanda,DNF
-,ESPINOLA Agua Marina,DNF
-,ALOMAIRI Noura,DNF
-,ALYASEEN Latefa,DNF
-,AU Hoi Ian,DNF
-,HARSCH Anne-Sophie,DNS
