,name,country,discipline
264,Jose MAGNANI,"BRA, ",Road Cycling
265,Karina SKIBBY,"DEN, ",Road Cycling
266,Hernandes QUADRI,"BRA, ",Road Cycling
267,Alessandra CAPPELLOTTO,"ITA, ",Road Cycling
268,Karsten STENERSEN,"NOR, ",Road Cycling
269,Luis ZARATE,"MEX, ",Road Cycling
270,J. ALFONSETTI,"LUX, ",Road Cycling
271,Robert HENTGES,"LUX, ",Road Cycling
272,Marcel DUCHEMIN,"FRA, ",Road Cycling
273,Iwan SCHMID,"SUI, ",Road Cycling
274,Lennart FAGERLUND,"SWE, ",Road Cycling
275,Gustaaf HERMANS,"BEL, ",Road Cycling
276,Imre GERA,"HUN, ",Road Cycling
277,Roberto PAGNIN,"ITA, ",Road Cycling
278,Andrzej MIERZEJEWSKI,"POL, ",Road Cycling
279,Kanellos KANELLOPOULOS,"GRE, ",Road Cycling
280,Mircea ROMASCANU,"ROU, ",Road Cycling
281,Ludek STYKS,"TCH, ",Road Cycling
282,Benno WISS,"SUI, ",Road Cycling
283,Gregolry PANIZO,"BRA, ",Road Cycling
284,Luisa SEGHEZZI,"ITA, ",Road Cycling
285,Ruben CAMACHO,"MEX, ",Road Cycling
286,Matti BRESCHEL,"DEN, ",Road Cycling
287,Rene BITTINGER,"FRA, ",Road Cycling
288,Anisha VEKEMANS,"BEL, ",Road Cycling
289,Edwige PITEL,"FRA, ",Road Cycling
290,Aude BIANNIC,"FRA, ",Road Cycling
291,Soufiane HADDI,"MAR, ",Road Cycling
292,Christiane SOEDER,"AUT, ",Road Cycling
293,Martin SÄTERHAUG,"NOR, ",Road Cycling
294,Ilmari VOUTELIN,"FIN, ",Road Cycling
295,Ferdinand SAIVE,"BEL, ",Road Cycling
296,Hendrik INNEMEE,"NED, ",Road Cycling
297,Luigi MAGNOTTI,"ITA, ",Road Cycling
298,Josef BOONS,"BEL, ",Road Cycling
299,Willi MEURER,"GER, ",Road Cycling
300,Michael WALKER,"IRL, ",Road Cycling
301,Pierino FAVALLI,"ITA, ",Road Cycling
302,Lars NORDWALL,"SWE, ",Road Cycling
303,Erik JANSSON,"SWE, ",Road Cycling
304,Per DIGERUD,"NOR, ",Road Cycling
305,Giuseppe TONUCCI,"ITA, ",Road Cycling
306,Adolf KOFLER,"AUT, ",Road Cycling
307,Nathael SAGARD,"CAN, ",Road Cycling
308,Anders JARL,"SWE, ",Road Cycling
309,Resa RESIK,"EST, ",Road Cycling
310,Raimondas VILCINSKAS,"LTU, ",Road Cycling
311,Aleksandr SHEFER,"KAZ, ",Road Cycling
312,Anisha VEKEMANS,"BEL, ",Road Cycling
313,Edwige PITEL,"FRA, ",Road Cycling
314,Aude BIANNIC,"FRA, ",Road Cycling
315,Soufiane HADDI,"MAR, ",Road Cycling
316,Christiane SOEDER,"AUT, ",Road Cycling
317,Martin SÄTERHAUG,"NOR, ",Road Cycling
318,Ilmari VOUTELIN,"FIN, ",Road Cycling
319,Ferdinand SAIVE,"BEL, ",Road Cycling
320,Hendrik INNEMEE,"NED, ",Road Cycling
321,Luigi MAGNOTTI,"ITA, ",Road Cycling
