name,country,discipline
Diego GARAVITO,"COL, ",Mountain Bike
Mette ANDERSEN,"DEN, ",Mountain Bike
Thomas HOCHSTRASSER,"SUI, ",Mountain Bike
Ivan ALVAREZ,"ESP, ",Mountain Bike
Lautaro CHAVEZ,"ARG, ",Mountain Bike
Ralph NAEF,"SUI, ",Mountain Bike
Marco Aurelio FONTANA,"ITA, ",Mountain Bike
Maxime MAROTTE,"FRA, ",Mountain Bike
Aleksandra DAWIDOWICZ,"POL, ",Mountain Bike
Raphael GAGNE,"CAN, ",Mountain Bike
David VALERO SERRANO,"ESP, ",Mountain Bike
Peter LOMBARD II,"GUM, ",Mountain Bike
Leandre BOUCHARD,"CAN, ",Mountain Bike
Rie KATAYAMA,"JPN, ",Mountain Bike
Ralph BERNER,"GER, ",Mountain Bike
Mary GRIGSON,"AUS, ",Mountain Bike
Robert WOODS,"AUS, ",Mountain Bike
Roberto LEZAUN,"ESP, ",Mountain Bike
Marios ATHANASIADIS,"CYP, ",Mountain Bike
Magdalena SADLECKA,"POL, ",Mountain Bike
Kenji TAKEYA,"JPN, ",Mountain Bike
Bas PETERS,"NED, ",Mountain Bike
Blaza KLEMENCIC,"SLO, ",Mountain Bike
Jimena FLORIT,"ARG, ",Mountain Bike
Diego GARAVITO,"COL, ",Mountain Bike
Mette ANDERSEN,"DEN, ",Mountain Bike
Thomas HOCHSTRASSER,"SUI, ",Mountain Bike
Ivan ALVAREZ,"ESP, ",Mountain Bike
Lautaro CHAVEZ,"ARG, ",Mountain Bike
Ralph NAEF,"SUI, ",Mountain Bike
Marco Aurelio FONTANA,"ITA, ",Mountain Bike
Maxime MAROTTE,"FRA, ",Mountain Bike
Aleksandra DAWIDOWICZ,"POL, ",Mountain Bike
Raphael GAGNE,"CAN, ",Mountain Bike
David VALERO SERRANO,"ESP, ",Mountain Bike
Peter LOMBARD II,"GUM, ",Mountain Bike
Leandre BOUCHARD,"CAN, ",Mountain Bike
Rie KATAYAMA,"JPN, ",Mountain Bike
Ralph BERNER,"GER, ",Mountain Bike
Mary GRIGSON,"AUS, ",Mountain Bike
Robert WOODS,"AUS, ",Mountain Bike
Roberto LEZAUN,"ESP, ",Mountain Bike
Marios ATHANASIADIS,"CYP, ",Mountain Bike
Magdalena SADLECKA,"POL, ",Mountain Bike
Kenji TAKEYA,"JPN, ",Mountain Bike
Bas PETERS,"NED, ",Mountain Bike
Blaza KLEMENCIC,"SLO, ",Mountain Bike
Jimena FLORIT,"ARG, ",Mountain Bike
Diego GARAVITO,"COL, ",Mountain Bike
Mette ANDERSEN,"DEN, ",Mountain Bike
Thomas HOCHSTRASSER,"SUI, ",Mountain Bike
Ivan ALVAREZ,"ESP, ",Mountain Bike
Lautaro CHAVEZ,"ARG, ",Mountain Bike
Sandra AMBROSIO,"ARG, ",Mountain Bike
Daniel MCCONNELL,"AUS, ",Mountain Bike
Rosara JOSEPH,"NZL, ",Mountain Bike
Wolfram KURSCHAT,"GER, ",Mountain Bike
Maja WLOSZCZOWSKA,"POL, ",Mountain Bike
Rudi VAN HOUTS,"NED, ",Mountain Bike
Jenny RISSVEDS,"SWE, ",Mountain Bike
Adelheid MORATH,"GER, ",Mountain Bike
Adrien NIYONSHUTI,"RWA, ",Mountain Bike
Christophe DUPOUEY,"FRA, ",Mountain Bike
Burry STANDER,"RSA, ",Mountain Bike
Mike KLUGE,"GER, ",Mountain Bike
Kanako TANIKAWA,"JPN, ",Mountain Bike
Jhon ARIAS SANCHEZ,"COL, ",Mountain Bike
Luca BRAMATI,"ITA, ",Mountain Bike
Andreas HESTLER,"CAN, ",Mountain Bike
Esther SUSS,"SUI, ",Mountain Bike
Barbel JUNGMEIER,"AUT, ",Mountain Bike
Seamus MCGRATH,"CAN, ",Mountain Bike
Petra HENZI,"SUI, ",Mountain Bike
Yukari NAKAGOME,"JPN, ",Mountain Bike
Anna SZAFRANIEC,"POL, ",Mountain Bike
Carsten BRESSER,"GER, ",Mountain Bike
Marco BUI,"ITA, ",Mountain Bike
Hiroko NAMBU,"JPN, ",Mountain Bike
Fredrik KESSIAKOFF,"SWE, ",Mountain Bike
Samuel Kenneth MUHINDI,,Mountain Bike
Daniela GASSMANN,"SUI, ",Mountain Bike
Juliana FURTADO,"USA, ",Mountain Bike
Ann TROMBLEY,"USA, ",Mountain Bike
Laura Valentina ABRIL RESTREPO,"COL, ",Mountain Bike
Mary MCCONNELOUG,"USA, ",Mountain Bike
Jose Antonio HERMIDA RAMOS,"ESP, ",Mountain Bike
David Joao Serralheiro ROSA,"POR, ",Mountain Bike
Samuel SCHULTZ,"USA, ",Mountain Bike
Ziranda MADRIGAL ALVAREZ-UGENA,"MEX, ",Mountain Bike
Erica Lynn GREEN,"RSA, ",Mountain Bike
Lea DAVISON,"USA, ",Mountain Bike
