,name,country,discipline
968,Frederick Lockwood DENMAN,"USA, ",Modern Pentathlon
969,Guy Kent TROY,"USA, ",Modern Pentathlon
970,William Thad MCARTHUR,"USA, ",Modern Pentathlon
971,Peter Conover HAINS,"USA, ",Modern Pentathlon
972,Richard Louis GRUENTHER,"USA, ",Modern Pentathlon
973,Charles Fredrick LEONARD,"USA, ",Modern Pentathlon
974,Jack Michael G. LUMSDEN,"GBR, ",Modern Pentathlon
975,Michael Earle STORM,"USA, ",Modern Pentathlon
976,Dean William GLENESK,"USA, ",Modern Pentathlon
977,Jörg TSCHERNER,"GDR, ",Modern Pentathlon
978,Karl-Heinz KUTSCHKE,"GDR, ",Modern Pentathlon
979,Hans Jurgen TODT,"FRG, ",Modern Pentathlon
980,Donald SCOTT,"USA, ",Athletics
981,Frederick Reginia WEBER,"USA, ",Modern Pentathlon
982,Brookner West BRADY,"USA, ",Modern Pentathlon
983,Karl LEBAN,"AUT, ",Modern Pentathlon
984,Charles Percy Digby LEGARD,"GBR, ",Modern Pentathlon
985,John David FITZGERALD,"USA, ",Modern Pentathlon
986,William Jules ANDRE,"USA, ",Modern Pentathlon
987,Paul Karoly PESTHY,"USA, ",Modern Pentathlon
988,Robert Gregory LOSEY,"USA, ",Modern Pentathlon
989,George Huston BARE,"USA, ",Modern Pentathlon
990,Edouard ECUYER DE LE COURT,"BEL, ",Modern Pentathlon
991,Mary Beth IAGORASHVILI,"USA, ",Modern Pentathlon
992,Richard Walden MAYO,"USA, ",Modern Pentathlon
993,Aubrey Strode NEWMAN,"USA, ",Modern Pentathlon
994,Alfred Dodd STARBIRD,"USA, ",Modern Pentathlon
995,Robert Lee NIEMAN,"USA, ",Modern Pentathlon
996,Charles Leonard RICHARDS,"USA, ",Modern Pentathlon
997,Ernest Nason HARMON,"USA, ",Modern Pentathlon
998,Geoffrey Arthur C. BROOKE,"GBR, ",Modern Pentathlon
999,Leila GYENESEI,"HUN, ",Cross-Country
1000,Mohamed ABDEL RAHMAN,"EGY, ",Road Cycling
